Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Accepting NHS patients by referral only,Value  (Accepting NHS patients by referral only),Banding Classification  (Accepting NHS patients by referral only),Accepting new adult NHS patients,Value  (Accepting new adult NHS patients),Banding Classification  (Accepting new adult NHS patients),Accepting new adult patients entitled to free NHS dental care,Value  (Accepting new adult patients entitled to free NHS dental care),Banding Classification  (Accepting new adult patients entitled to free NHS dental care),Accepting children as new NHS patients,Value  (Accepting children as new NHS patients),Banding Classification  (Accepting children as new NHS patients),Urgent NHS dental appointments,Value  (Urgent NHS dental appointments),Banding Classification  (Urgent NHS dental appointments),Induction loop (Induction loop in place),Car parking (Is there car parking at this organisation?)
Parr Dental Surgery Limited,V005977,DEN,Talking Teeth Dental Practice,162 Parr Stocks Road,St Helens,Merseyside,,WA9 1PB,Tel: 01744 738385 ,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005977,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Linthwaite Dental Care,V003190,DEN,Dental Surgery,613 Manchester Road,Linthwaite,Huddersfield,,HD7 5QX,Tel: 01484 653218,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003190,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Holmfirth Dental Surgery,V012428,DEN,,"Oaklands, Huddersfield Road",,Holmfirth,,HD9 3TP,Tel: 01484 682291,31 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012428,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Hope Dental Clinic,V008947,DEN,Eccles Close,Hope,Hope Valley,Derbyshire,Derbyshire,S33 6RG,Tel: 01433 620468,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008947,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
Darwen Dental Care,V003846,DEN,20 Railway Road,Darwen,,Lancs,,BB3 2RG,Tel: 01254 702677,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003846,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Expert Orthodontics Limited,V183321,DEN,42 RAILWAY ROAD,DARWEN,,,,BB3 2RJ,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V183321,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
"mydentist, Rainford Road, Billinge",V005983,DEN,,3 Rainford Road,Billinge,Wigan,Lancashire,WN5 7PF,Tel: 01744892617,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005983,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
Darwenside Dental Practice,V008165,DEN,Union Street,Darwen,,Lancs,,BB3 0DA,Tel: 01254 703020,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008165,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
J E Thorpe and Associates Ltd,V005984,DEN,303-305 Mill Lane,St Helens,,Merseyside,,WA9 4EU,Tel: 01744 813803,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005984,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
G.k.A (1996) Ltd,V030361,DEN,Rodenhurst,Standish Dental Practice,59 Church St,Wigan,,WN6 0JT,Tel: 01257 422114,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V030361,0,0,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,,yes
Runcorn Dental Practice,V008108,DEN,,7 Palacefields Local Centre,,Runcorn,,WA7 2NZ,Tel: 01928 717017,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008108,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
Cottage Dental Practice,V004956,DEN,16 Congleton Road,Sandbach,,Cheshire,,CW11 1HJ,Tel: 01270 765771,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004956,0,0,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
McTooth Limited - The Dental Surgery,V005623,DEN,61 Mere Lane,Sandiway,,Northwich,,CW8 2NR,Tel: 01606 888448,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005623,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
A.S Devine The Dental Surgery,V004959,DEN,53 Heath Road,Sandbach,,Cheshire,,CW11 2JU,Tel: 01270 757646,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004959,0,0,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Crown Bank,V004946,DEN,1 Crown Bank,Sandbach,,Cheshire,Cheshire,CW11 1FW,Tel: 01270 763777,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004946,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,false,no,yes,yes
M.P. Meredith - The Dental Surgery,V004942,DEN,7 Middlewich Road,Sandbach,,Cheshire,,CW11 1DH,Tel: 01270 768841,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004942,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Harbour Dental Practice,V004965,DEN,23-25 Crewe Road,Sandbach,,Cheshire,,CW11 4NE,Tel: 01270 762186,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004965,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,true,yes,no,no
The Honley Dental Practice,V003200,DEN,12 Southgate,Honley,,Holmfirth,,HD9 6NT,Tel: 01484 664692,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003200,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Halton Road Dental Practice,V008130,DEN,Halton Road Dental Practice,254 Halton Road,,Runcorn,Cheshire,WA7 5RL,Tel: 01928 569293,38 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008130,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
"mydentist, Queens Parade, Winsford",V003463,DEN,,8 Queens Parade,,Winsford,Cheshire,CW7 1AE,Tel: 01606551600,19 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003463,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
"mydentist, Moor Road, Orrell ",V007515,DEN,,7 Moor Road,Orrell,Wigan,Lancashire,WN5 8ND,Tel: 01942215091,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007515,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
Baxenden Dental Practice,V009255,DEN,522 Manchester Road,520 - 522 Manchester Road,Lancs,Accrington,Lancashire,BB5 2RG,Tel: 01254 236794,32 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V009255,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,yes
Church Street Dental Practice,V007519,DEN,52 Church Street,Orrell,Wigan,Lancs,,WN5 8TQ,Tel: 01695625565,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007519,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Greater Manchester Dental Alliance Limited,V040837,DEN,Church St Dental,52 Church St,ORRELL,Wigan,,WN5 8TQ,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V040837,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Farnworth Dental,V008113,DEN,163 Peel House Lane,Farnworth,,Widnes,Cheshire,WA8 9UH,Tel: 0151 424 2777,12 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008113,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Talking Teeth,V009217,DEN,Dental Practice,125 Albert Road,,Widnes,Cheshire,WA8 6LB,Tel: 0151 424 1422,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V009217,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
Park House Dental Practice,V005622,DEN,,406-408 High Street,,Winsford,Cheshire,CW7 2DP,Tel: 01606 550 264,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005622,0,0,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
"mydentist, Victoria Square, St Helens",V005969,DEN,,1 Victoria Square,,St Helens,Merseyside,WA10 1HQ,Tel: 0174422595,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005969,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
Barrow Street Dental Practice,V013049,DEN,20 Barrow Street,St Helens,,Merseyside,,WA10 1RX,Tel: 01744 26566,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V013049,,,,false,no,,false,no,,false,no,,false,no,,true,yes,yes,no
"mydentist, High Street, Winsford",V010099,DEN,,428 High Street,Highstreet,Winsford,Cheshire,CW7 2DS,Tel: 016 0659 2589,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V010099,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
St Helens Family Dental Clinic,V005986,DEN,36-38 Claughton Street,St. Helens,,Merseyside,,WA10 1SN,Tel: 01744 28225,12 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005986,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,no
Blue Sky Dental Care,V003769,DEN,93 Blackburn Road,Darwen,,Lancs,,BB3 1ET,Tel: 01254 702535,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003769,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Deacon Dental Ltd.,V008104,DEN,22 Deacon Road,Widnes,,Cheshire,,WA8 6ED,Tel: 0151 424 2182,33 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008104,,,,false,no,,false,no,,false,no,,false,no,,true,yes,yes,no
Embrace Orthodontics Limited,V203848,DEN,Bright Orthodontics,Business Hub @ Simms Cross,130-132 Widnes Road,Widnes,Cheshire,WA8 6AX,Tel: 0151 332 2888,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V203848,0,0,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,,
Milnsbridge Dental Practice,V003303,DEN,Bupa Dental Care Milnsbridge,73 Market Street,Milnsbridge,Huddersfield,West Yorkshire,HD3 4HZ,Tel: 01484 653574,917 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003303,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,true,yes,no,no
Lowe House Dental Practice,V014573,DEN,Lowe House Dental,103 Crab Str,Lowe House HealthCare Centre,St Helens,,WA10 2DJ,Tel: 01744 750 701,17 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V014573,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,false,no,,yes
Dental Elements,V012759,DEN,Unit 3 Liebig Court,Widnes Road,Widnes,Cheshire,,WA8 6GD,Tel: 0151 424 7507,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012759,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
Mr J A Lee,V007599,DEN,16 Gathurst Lane,Shevington,Wigan,Lancs,,WN6 8HA,Tel: 01257 252697,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007599,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
The Corner Dental Surgery Limited,V005974,DEN,146 Duke Street,St Helens,,Merseyside,,WA10 2JL,Tel: 01744 23677,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005974,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
The Corner Dental Surgery Ltd,V042478,DEN,89 Atherton Street,St Helens,Merseyside,,,WA10 2DS,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V042478,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Bateman & Best,V003858,DEN,330 - 334 Blackburn Road,Darwen,,Lancs,,BB3 0AA,Tel: 01254 773512,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003858,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,yes
Windle House Dental,V014317,DEN,Windle House Dental Practice,1 Spray Street,,St Helens,Merseyside,WA10 2NN,Tel: 01744820404,28 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V014317,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,yes
Pennine Dental,V003304,DEN,Pennine Dental,"Unit 7, 144 Moor Hill Road",Salendine Nook,Huddersfield,,HD3 3XA,Tel: 01484 643775,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003304,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
S Kotecha,V008109,DEN,49 Festival Way,Runcorn,,Cheshire,,WA7 5JU,Tel: 01928 581382,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008109,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Crosland Moor Dental Clinic,V003308,DEN,122 Blackmoorfoot Road,crosland moor dental clinic,122 blackmoorfoot road,huddersfield,West Yorkshire,HD4 5RL,Tel: 01484654438,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003308,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Newtown Dental Centre,V009188,DEN,161 Cambridge Road,St Helens,,Merseyside,,WA10 4HA,Tel: 01744 20299,595 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V009188,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,no
Hall Green Dental Practice (Upholland),V002410,DEN,,21A Hall Green,,Upholland,Lancashire,WN8 0PB,Tel: 01695 622066,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002410,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,no
Laurel Villa Dental Surgery,V005996,DEN,261 Prescot Road,St. Helens,,Merseyside,,WA10 3HG,Tel: 01744 24631,12 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005996,,,,false,no,,false,no,,false,no,,false,no,,true,yes,yes,no
Horizons Dental Practice,V007622,DEN,67 High Street,Biddulph,Stoke-on-Trent,Staffordshire,,ST8 6AA,Tel: 01782 515805,64 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007622,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,no
St Raphael's Dental Practice Limited,V012877,DEN,65 Ormskirk Road,Upholland,,Skelmersdale,Lancashire,WN8 0AH,Tel: 01695 627 617,28 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012877,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Lockwood Dental Practice,V003300,DEN,215-219 Lockwood Road,Lockwood,Huddersfield,W Yorkshire,,HD1 3TG,Tel: 01484 420927,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003300,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
"mydentist, Church Street, Runcorn",V008107,DEN,105 - 107 Church Street,,,Runcorn,Cheshire,WA7 1LA,Tel: 01928 572 679,36 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008107,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
Keen Dental Care,V012012,DEN,Well Street,Biddulph,Stoke-On-Trent,,,ST8 6HS,Tel: 01782 517686,48 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012012,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,yes
"mydentist, Union Road, Oswaldtwistle",V007447,DEN,,354 Union Road,Oswaldtwistle,Accrington,Lancashire,BB5 3JD,Tel: 01254236967,47 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007447,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Newsome Dental Practice,V003309,DEN,9 Church Lane,Newsome,,Huddersfield,West Yorkshire,HD4 6JE,Tel: 01484 514940,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003309,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Oak House Dental Centre ,V011580,DEN,Oak House Dental Centre,34 Church Street,,Accrington,Lancashire,BB5 2ED,Tel: 01254 283674,35 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011580,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,
St Georges Dental Practice,V005331,DEN,,19-21,St. Georges Street,Chorley,Lancashire,PR7 2AA,Tel: 01257 262545,39 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005331,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,true,yes,no,yes
"mydentist, Greenway Road, Runcorn ",V008098,DEN,,14 Greenway Road,,Runcorn,Cheshire,WA7 4NW,Tel: 01928 572 551,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008098,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
Abbey Street Dental Practice,V007451,DEN,69 Abbey Street,,,Accrington,Lancashire,BB5 1EH,Tel: 01254 231700,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007451,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Jones Dental Practice,V005411,DEN,71 Union Street,Chorley,,Lancs,,PR7 1AB,Tel: 01257 260022,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005411,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Grange Dene Dental Practice,V002626,DEN,Burnley Road,Mytholmroyd,,Hebden Bridge,,HX7 5LL,Tel: 01422 881234,501 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002626,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,yes
Marsh Dental Care,V003284,DEN,116 Westbourne Road,Marsh,Huddersfield,W Yorkshire,Yorkshire(West Riding),HD1 4LF,Tel: 01484 516633,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003284,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
"mydentist, Dole Lane, Chorley",V005360,DEN,,8 Dole Lane,,Chorley,Lancashire,PR7 2RL,Tel: 01257 264739,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005360,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
"Denny, Wright & Associates",V002029,DEN,16 New Road,Hebden Bridge,,W Yorkshire,,HX7 8AD,Tel: 01422 843162,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002029,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
"mydentist, Warrington Road, Rainhill ",V005989,DEN,,469 Warrington Road,Rainhill,Prescot,Merseyside,L35 4LL,Tel: 0151 426 7931,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005989,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Royd House Family Dental Practice,V003305,DEN,99 East Street,Lindley,,Huddersfield,Yorkshire(West Riding),HD3 3NF,Tel: 01484 537150,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003305,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Avenue Parade Dental Practice,V007438,DEN,Avenue Parade Dental Practice,1 Avenue Parade,,Accrington,Lancashire,BB5 6PN,Tel: 01254 231 219,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007438,0,0,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
Bamford Dental Practice,V008876,DEN,Bamford Dental Practice,Hancock Building,Main Road,Bamford,,S33 0AY,Tel: 01433 651270,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008876,,,,false,no,,false,no,,false,no,,false,no,,true,yes,yes,no
"Bupa Dental Care, Accrington",V007437,DEN,Bupa Dental Care,432 Blackburn Road,,Accrington,Lancashire,BB5 0DE,Tel: 01254 232040,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007437,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,,yes
Mr D Tildsley ,V008110,DEN,1 Cresta Drive,Weston,,Runcorn,,WA7 4RS,Tel: 01928 567819,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008110,,,,false,no,,false,no,,false,no,,false,no,,true,yes,no,yes
Newtown (no 1) Ltd,V017203,DEN,93 Broadway,St. Helens,Merseyside,,,WA10 5PJ,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V017203,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
64 Saddleworth Road,V002009,DEN,West Vale Dental Practice,64 Saddleworth Road,Greetland,Halifax,West Yorkshire,HX4 8AG,Tel: 01422 370282,29 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002009,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Park House Dental,V014612,DEN,,Argyle Street,,Accrington,Lancashire,BB5 1DQ,Tel: 01254 790900,22 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V014612,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Park View Dental Practice,V003291,DEN,,122 Trinity Street,,Huddersfield,West Yorkshire,HD1 4DT,Tel: 01484 423701,65 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003291,,,,false,no,Adults 18 and over,true,yes,,true,yes,Children up to the age of 18,true,yes,,false,no,no,no
Greenhead Dental Practice Ltd,V012131,DEN,Greenhead Dental Practice,29 Greenhead Road,,Huddersfield,West Yorkshire,HD1 4EN,Tel: 01484 421015,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012131,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Clough Dental Surgery,V002023,DEN,Clough Works,Bolton Brow,,Sowerby Bridge,West Yorkshire,HX6 2AL,Tel: 01422 834392,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002023,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Frodsham Dental Surgery,V006011,DEN,8 Church Street,,,Frodsham,Cheshire,WA6 7EB,Tel: 01928 735377,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006011,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,yes
Huddersfield Orthodontics,V012315,DEN,84,New North Road,,Huddersfield,West Yorkshire,HD1 5NE,Tel: 01484 538900,45 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012315,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Edgerton Dental Clinic,V003349,DEN,80 New North Road,Edgerton,,Huddersfield,,HD1 5NE,Tel: 01484 530 343,33 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003349,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,no
Upton Dental Practice,V008127,DEN,5 Danescroft,Upton Estate,,Widnes,,WA8 4NS,Tel: 0151 423 6792,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008127,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,yes,yes
Night Dental Ltd,V055676,DEN,Night Dental Limited,23 New North Parade,Huddersfield,,,HD1 5JU,,27 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V055676,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Ravat & Ray Dental Care,V029933,DEN,The Oaks,69 Preston Road,Chorley,Lancashire,,PR7 1PL,,58 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V029933,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,,
